nombre,lat,lng
1,-33.09297279541615,-60.73873681909167
2,-33.09727888659872,-60.72703748810265
3,-33.09243049200688,-60.72809656176867
4,-33.09297279541615,-60.73873681909167
5,-33.09890790759314,-60.73743609636611
