nombre,lat,lng,coordenadas_gauss_kruger_easting,coordenadas_gauss_kruger_northing
Centro de Rosario,-32.9442,-60.6505,5439229.945221076,6355430.748343553
Monumento a la Bandera,-32.9477,-60.6395,5440260.962679293,6355048.873110817
Parque de la Independencia,-32.9567,-60.6394,5440276.373100347,6354050.769609459
Puerto de Rosario,-32.9398,-60.6278,5441349.818855898,6355931.61509533
Estadio Gigante de Arroyito,-32.9156,-60.6671,5437657.523020132,6358592.968516552
